"city","check_in date","check_out date","Hotel name","Hotel review","Booking url"
"Jerusalem","2022-11-15","2022-11-18","Stay Kook Suites
Opens in new window","8.6
Excellent
1,007 reviews","https://www.booking.com/hotel/il/7kook.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaGqIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AuDDuZoGwAIB0gIkYzViNTdjYTEtZTU3NS00Y2ZjLThhNjMtMGNlMDEwYjQ4OTU22AIF4AIB&sid=142342574b0ba084bc80da34af45f56f&all_sr_blocks=103813309_342210942_0_0_0;checkin=2022-11-15;checkout=2022-11-18;dest_id=900000000;dest_type=city;dist=0;group_adults=2;group_children=0;hapos=1;highlighted_blocks=103813309_342210942_0_0_0;hpos=1;matching_block_id=103813309_342210942_0_0_0;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;sr_pri_blocks=103813309_342210942_0_0_0__194025;srepoch=1666081264;srpvid=00613ab7d50700fb;type=total;ucfs=1&#hotelTmpl"
"Istanbul","2022-11-15","2022-11-17","Dizayn Hotel
Opens in new window","7.9
Good
121 reviews","https://www.booking.com/hotel/tr/dizayn.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaGqIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AuDDuZoGwAIB0gIkYzViNTdjYTEtZTU3NS00Y2ZjLThhNjMtMGNlMDEwYjQ4OTU22AIF4AIB&sid=142342574b0ba084bc80da34af45f56f&all_sr_blocks=640358501_256993935_0_0_0;checkin=2022-11-15;checkout=2022-11-17;dest_id=-755070;dest_type=city;dist=0;group_adults=2;group_children=0;hapos=1;highlighted_blocks=640358501_256993935_0_0_0;hpos=1;matching_block_id=640358501_256993935_0_0_0;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;sr_pri_blocks=640358501_256993935_0_0_0__13230;srepoch=1666081300;srpvid=68a63ac910f80344;type=total;ucfs=1&#hotelTmpl"
